,$E$,$P$,$I$,$A$,$P^d$,$I^d$,$E^q$,$P^q$,$I^q$,$A^q$
$E$,0,$\beta$,$\beta$,$\eta \beta$,$\upsilon (\zeta - \zeta^k)$,$(1 - \iota^d) \beta$,0,$(1 - \iota^d) \beta$,$(1 - \iota^d) \beta$,$\eta (1 - \iota^d) \beta$
$P$,0,0,0,0,0,0,0,0,0,0
$I$,0,0,0,0,0,0,0,0,0,0
$A$,0,0,0,0,0,0,0,0,0,0
$P^d$,0,0,0,0,0,0,0,0,0,0
$I^d$,0,0,0,0,0,0,0,0,0,0
$E^q$,0,0,0,0,$\upsilon \zeta^k$,0,0,0,0,0
$P^q$,0,0,0,0,0,0,0,0,0,0
$I^q$,0,0,0,0,0,0,0,0,0,0
$A^q$,0,0,0,0,0,0,0,0,0,0
