,$E$,$P$,$I$,$A$,$P^d$,$I^d$
$E$,0,$\beta$,$\beta$,$\eta \beta$,$\upsilon (\zeta - \zeta^k)$,$(1 - \iota^d) \beta$
$P$,0,0,0,0,0,0
$I$,0,0,0,0,0,0
$A$,0,0,0,0,0,0
$P^d$,0,0,0,0,0,0
$I^d$,0,0,0,0,0,0
